deprecation > declaring-dependencies-using-multi-string-notation | plugin:com.google.protobuf | Please use single-string notation instead: "com.google.protobuf:protoc:3.22.3:linux-x86_64@exe".
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:10 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:11 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:12 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:13 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:5 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:6 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:7 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-analyzer/common/build.gradle:8 | Property 'libs' was not declared in project ':base:build-analyzer:common' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aapt2-proto/build.gradle:25 | Property 'libs' was not declared in project ':base:build-system:aapt2-proto' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aapt2-proto/build.gradle:30 | Property 'libs' was not declared in project ':base:build-system:aapt2-proto' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:11 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:12 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:14 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:15 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:16 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:17 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:7 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:8 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/aaptcompiler/build.gradle:9 | Property 'libs' was not declared in project ':base:build-system:aaptcompiler' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-model/build.gradle:10 | Property 'libs' was not declared in project ':base:builder-model' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-model/build.gradle:11 | Property 'libs' was not declared in project ':base:builder-model' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-model/build.gradle:12 | Property 'libs' was not declared in project ':base:builder-model' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-model/build.gradle:14 | Property 'libs' was not declared in project ':base:builder-model' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-model/build.gradle:15 | Property 'libs' was not declared in project ':base:builder-model' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:22 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:23 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:24 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:25 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:26 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:27 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:28 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:29 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:30 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:31 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:32 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:33 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-r8/build.gradle:34 | Property 'libs' was not declared in project ':base:build-system:builder-r8' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-test-api/build.gradle:10 | Property 'libs' was not declared in project ':base:builder-test-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-test-api/build.gradle:5 | Property 'libs' was not declared in project ':base:builder-test-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-test-api/build.gradle:6 | Property 'libs' was not declared in project ':base:builder-test-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-test-api/build.gradle:7 | Property 'libs' was not declared in project ':base:builder-test-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder-test-api/build.gradle:8 | Property 'libs' was not declared in project ':base:builder-test-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:10 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:11 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:12 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:14 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:15 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:16 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:18 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:19 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:20 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:21 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
